record_type,epoch,step,global_step,optimizer_step,train_step_loss,train_running_loss,train_epoch_loss,val_loss,val_wer,lr,elapsed_sec,best_wer
train_step,46,22,2137,131,4.515299320220947,4.353884859518572,,,,1.3100000000000002e-05,,
train_step,46,23,2138,131,4.053107738494873,4.340807593387106,,,,1.3100000000000002e-05,,
train_step,46,24,2139,132,4.745761871337891,4.3576806883017225,,,,1.32e-05,,
train_step,46,25,2140,132,4.207540512084961,4.351675081253052,,,,1.32e-05,,
train_step,46,26,2141,133,4.719902038574219,4.3658376565346355,,,,1.3300000000000001e-05,,
train_step,46,27,2142,133,4.561971664428711,4.373101879049231,,,,1.3300000000000001e-05,,
train_step,46,28,2143,134,4.2899370193481445,4.370131705488477,,,,1.34e-05,,
train_step,46,29,2144,134,4.358741760253906,4.369738948756251,,,,1.34e-05,,
train_step,46,30,2145,135,4.046550750732422,4.358966008822123,,,,1.35e-05,,
train_step,46,31,2146,135,4.746199607849121,4.371457415242349,,,,1.35e-05,,
train_step,46,32,2147,136,3.6315784454345703,4.348336197435856,,,,1.36e-05,,
train_step,46,33,2148,136,4.266140937805176,4.345845431992502,,,,1.36e-05,,
train_step,46,34,2149,137,4.439177989959717,4.348590507226832,,,,1.37e-05,,
train_step,46,35,2150,137,4.546982765197754,4.354258857454572,,,,1.37e-05,,
train_step,46,36,2151,138,4.368670463562012,4.354659179846446,,,,1.3800000000000002e-05,,
train_step,46,37,2152,138,4.478302955627441,4.358000903516202,,,,1.3800000000000002e-05,,
train_step,46,38,2153,139,4.1040802001953125,4.3513187797446,,,,1.39e-05,,
train_step,46,39,2154,139,4.103499412536621,4.344964436995677,,,,1.39e-05,,
train_step,46,40,2155,140,4.441611289978027,4.347380608320236,,,,1.4e-05,,
train_step,46,41,2156,140,4.270079612731934,4.345495218183936,,,,1.4e-05,,
train_step,46,42,2157,141,4.609468460083008,4.351780295372009,,,,1.41e-05,,
train_step,46,43,2158,141,4.764735698699951,4.361383909402892,,,,1.41e-05,,
train_step,46,44,2159,142,4.159807205200195,4.356802620671012,,,,1.42e-05,,
train_step,46,45,2160,142,4.171604156494141,4.35268709924486,,,,1.42e-05,,
train_step,46,46,2161,143,4.670736312866211,4.359601212584454,,,,1.4300000000000002e-05,,
train_step,46,47,2162,144,4.263772010803223,4.35756229339762,,,,1.44e-05,,
epoch_summary,46,47,2162,144,,,4.35756229339762,nan,nan,1.44e-05,9.329224586486816,0.21612232079767607
train_step,47,1,2163,144,4.569492340087891,4.569492340087891,,,,1.44e-05,,
train_step,47,2,2164,145,4.2462968826293945,4.407894611358643,,,,1.4499999999999998e-05,,
train_step,47,3,2165,145,4.278475761413574,4.364754994710286,,,,1.4499999999999998e-05,,
train_step,47,4,2166,146,4.470447063446045,4.391178011894226,,,,1.46e-05,,
train_step,47,5,2167,146,4.298923492431641,4.372727108001709,,,,1.46e-05,,
train_step,47,6,2168,147,4.588910102844238,4.408757607142131,,,,1.47e-05,,
train_step,47,7,2169,147,4.111218452453613,4.3662520136152,,,,1.47e-05,,
train_step,47,8,2170,148,3.90067195892334,4.308054506778717,,,,1.48e-05,,
train_step,47,9,2171,148,4.0395684242248535,4.278222719828288,,,,1.48e-05,,
train_step,47,10,2172,149,3.9254097938537598,4.242941427230835,,,,1.49e-05,,
train_step,47,11,2173,149,4.317909240722656,4.249756683002818,,,,1.49e-05,,
train_step,47,12,2174,150,4.1960859298706055,4.245284120241801,,,,1.5000000000000002e-05,,
